code,description,detailedDescription
P0490, SistemaEGR, Sistema EGR
P0491, SistemaInjecaoAr, Sistema de injeção de ar
P0492, SistemaInjecaoAr, Sistema de injeção de ar
P0493, Ventilador, Ventilador
P0494, Ventilador, Ventilador
P0495, Ventilador, Ventilador
P0496, SistemaCanister, Sistema Canister
P0497, SistemaCanister, Sistema Canister
P0498, SistemaCanister, Sistema Canister
P0499, SistemaCanister, Sistema Canister
P0500, SinalVelocidade, Sinal de velocidade
P0501, SensorVelocidade, Sensor de velocidade do veículo
P0502, SensorVelocidade, Sensor de velocidade do veículo
P0503, SensorVelocidade, Sensor de velocidade do veículo
P0504, InterruptorFreio, Interruptor do freio
P0505, SistControleML, Sistema de controle de marcha lenta
P0506, SistControleML, Sistema de controle de marcha lenta
P0507, SistControleML, Sistema de controle de marcha lenta
P0508, SistControleML, Sistema de controle de marcha lenta
P0509, SistControleML, Sistema de controle de marcha lenta
P0510, InterPosicBorbol, Interruptor de posição da borboleta
P0511, SistControleML, Sistema de controle de marcha lenta
P0512, MotorArranque, Motor de arranque
P0513, ChaveIncorreta, Chave Incorreta
P0514, SensTempBateria, Sensor de temperatura da bateria
P0515, SensTempBateria, Sensor de temperatura da bateria
P0516, SensTempBateria, Sensor de temperatura da bateria
P0517, SensTempBateria, Sensor de temperatura da bateria
P0518, SistControleML, Sistema de controle de marcha lenta
P0519, SistControleML, Sistema de controle de marcha lenta
P0520, SenPrOleo, Sensor de Pressão do óleo
P0521, SenPrOleo, Sensor de Pressão do óleo
P0522, SenPrOleo, Sensor de Pressão do óleo
P0523, SenPrOleo, Sensor de Pressão do óleo
P0524, PressaoOleoMotor, Pressão do óleo do motor
P0525, SistPilotoAutom, Sistema de piloto automático
P0526, SenVelocVentilad, Sensor de velocidade do ventilador
P0527, SenVelocVentilad, Sensor de velocidade do ventilador
P0528, SenVelocVentilad, Sensor de velocidade do ventilador
P0529, SenVelocVentilad, Sensor de velocidade do ventilador
P0530, SensorPressaoA/C, Sensor de pressão do ar condicionado
P0531, SensorPressaoA/C, Sensor de pressão do ar condicionado
P0532, SensorPressaoA/C, Sensor de pressão do ar condicionado
P0533, SensorPressaoA/C, Sensor de pressão do ar condicionado
P0534, SensorPressaoA/C, Sensor de pressão do ar condicionado
P0535, SenTempEvapA/C, Sensor de temperatura do evaporador do ar condicionado
P0536, SenTempEvapA/C, Sensor de temperatura do evaporador do ar condicionado
P0537, SenTempEvapA/C, Sensor de temperatura do evaporador do ar condicionado
P0538, SenTempEvapA/C, Sensor de temperatura do evaporador do ar condicionado
P0539, SenTempEvapA/C, Sensor de temperatura do evaporador do ar condicionado
P0540, AquecArAdmissao, Aquecedor do ar de admissão
P0541, AquecArAdmissao, Aquecedor do ar de admissão
P0542, AquecArAdmissao, Aquecedor do ar de admissão
P0543, AquecArAdmissao, Aquecedor do ar de admissão
P0544, SensorTempEGR, Sensor de temperatura do EGR
P0545, SensorTempEGR, Sensor de temperatura do EGR
P0546, SensorTempEGR, Sensor de temperatura do EGR
P0547, SensTempEscape, Sensor de temperatura do gás de escape
P0548, SensTempEscape, Sensor de temperatura do gás de escape
P0549, SensTempEscape, Sensor de temperatura do gás de escape
P0550, SensPresDirHidr, Sensor de pressão da direção hidráulica
P0551, DirecHidraulica, Direção Hidráulica
P0552, SensPresDirHidr, Sensor de pressão da direção hidráulica
P0553, SensPresDirHidr, Sensor de pressão da direção hidráulica
P0554, SensPresDirHidr, Sensor de pressão da direção hidráulica
P0555, SenPresServFreio, Sensor de pressão do servofreio
P0556, SenPresServFreio, Sensor de pressão do servofreio
P0557, SenPresServFreio, Sensor de pressão do servofreio
P0558, SenPresServFreio, Sensor de pressão do servofreio P0559 SenPresServFreio Sensor de pressão do servofreio
P0560, Tensao, Bateria Tensão da bateria
P0561, Tensao, Bateria Tensão da bateria
P0562, Tensao, Bateria Tensão da bateria
P0563, Tensao, Bateria Tensão da bateria
P0564, SistPilotoAutom, Sistema de piloto automático
P0565, SistPilotoAutom, Sistema de piloto automático
P0566, SistPilotoAutom, Sistema de piloto automático
P0567, SistPilotoAutom, Sistema de piloto automático
P0568, SistPilotoAutom, Sistema de piloto automático
P0569, SistPilotoAutom, Sistema de piloto automático
P0570, SistPilotoAutom, Sistema de piloto automático
P0571, SistPilotoAutom, Sistema de piloto automático
P0572, SistPilotoAutom, Sistema de piloto automático
P0573, SistPilotoAutom, Sistema de piloto automático
P0574, SistPilotoAutom, Sistema de piloto automático
P0575, SistPilotoAutom, Sistema de piloto automático
P0576, SistPilotoAutom, Sistema de piloto automático
P0577, SistPilotoAutom, Sistema de piloto automático
P0578, SistPilotoAutom, Sistema de piloto automático
P0579, SistPilotoAutom, Sistema de piloto automático
P0580, SistPilotoAutom, Sistema de piloto automático
P0581, SistPilotoAutom, Sistema de piloto automático
P0582, SistPilotoAutom, Sistema de piloto automático
P0583, SistPilotoAutom, Sistema de piloto automático
P0584, SistPilotoAutom, Sistema de piloto automático
P0585, SistPilotoAutom, Sistema de piloto automático
P0586, SistPilotoAutom, Sistema de piloto automático
P0587, SistPilotoAutom, Sistema de piloto automático
P0588, SistPilotoAutom, Sistema de piloto automático
P0589, SistPilotoAutom, Sistema de piloto automático
P0590, SistPilotoAutom, Sistema de piloto automático
P0591, SistPilotoAutom, Sistema de piloto automático
P0592, SistPilotoAutom, Sistema de piloto automático
P0593, SistPilotoAutom, Sistema de piloto automático
P0594, SistPilotoAutom, Sistema de piloto automático
P0595, SistPilotoAutom, Sistema de piloto automático
P0596, SistPilotoAutom, Sistema de piloto automático
P0597, ContrAquTermost, Controle de aquecimento do termostato
P0598, ContrAquTermost, Controle de aquecimento do termostato
P0599, ContrAquTermost, Controle de aquecimento do termostato
P0600, ComunicacaoCAN, Problema na comunicação CAN
P0601, FalhaMemoriaECU, Falha de memória da ECU
P0602, ProgramacaoECU, Programação da ECU
P0603, FalhaMemoriaECU, Falha de memória da ECU
P0604, FalhaECU, Motor Falha na ECU do motor
P0605, FalhaMemoriaECU, Falha de memória da ECU
P0606, FalhaECU, Motor Falha na ECU do motor
P0607, MauFuncionam.ECU, Mau funcionamento da ECU
P0608, FalhaECU, Motor Falha na ECU do motor
P0609, FalhaECU, Motor Falha na ECU do motor
P0610, FalhaECU, Motor Falha na ECU do motor
P0611, ECUContrInjetor, ECU de controle do injetor
P0612, ECUContrInjetor, ECU de controle do injetor
P0613, ECUTransmissao, ECU da transmissão
P0614, SinalTCM/ECM, Sinal do TCM e ECM
P0615, ReleMotorArranq, Relé do motor de arranque
P0616, ReleMotorArranq, Relé do motor de arranque
P0617, ReleMotorArranq, Relé do motor de arranque
P0618, ECUCombustAltern, ECU de combustível alternativo
P0619, ECUCombustAltern, ECU de combustível alternativo
P0620, Alternador, Alternador P0621 IndicAlternador Indicador do alternador
P0622, Alternador, Alternador
P0623, IndicAlternador, Indicador do alternador
P0624, IndicTampaComb, Indicador da tampa de combustível
P0625, Alternador, Alternador P0626 Alternador Alternador
P0627, ContrBombaCombus, Controle da bomba de combustível
P0628, ContrBombaCombus, Controle da bomba de combustível
P0629, ContrBombaCombus, Controle da bomba de combustível
P0630, NumeroVIN, Número VIN (Número de indentificação do veículo)
P0631, NumeroVIN, Número VIN (Número de indentificação do veículo)
P0632, HodomNaoProg, Hodômetro não programado
P0633, ChaveNaoProgr, Chave não programada
P0634, TemperaturaECU, Temperatura da ECU
P0635, ContrDirecAssist, Controle de direção assistida
P0636, ContrDirecAssist, Controle de direção assistida
P0637, ContrDirecAssist, Controle de direção assistida
P0638, AtuadorBorboleta, Atuador da borboleta
P0639, AtuadorBorboleta, Atuador da borboleta
P0640, AquecArAdmissao, Aquecedor do ar de admissão
P0641, TensaoReferenc, Tensão de referência
P0642, FalhaECU, Motor Falha na ECU do motor
P0643, TensaoReferenc, Tensão de referência
P0644, ComputadorBordo, Computador de bordo
P0645, ArCondicionado, Ar Condicionado
P0646, ReleEmbreagA/C, Relê da embreagem do ar condicionado
P0647, ReleEmbreagA/C, Relê da embreagem do ar condicionado
P0648, IndicadorImobil, Indicador do imobilizador
P0649, IndicPilotoAutom, Indicador do piloto automático
P0650, LampDiagnost, Lâmpada de diagnóstico
P0651, TensaoReferenc, Tensão de referência
P0652, TensaoReferenc, Tensão de referência
P0653, TensaoReferenc, Tensão de referência
P0654, SinalRotacao, Sinal de rotação
P0655, IndicSobreaqMot, Indicador de sobreaquecimento do motor
P0656, SaidNivelCombust, Saida de nível de combustível
P0657, CircAlimentAtuad, Circuito de alimentação dos atuadores
P0658, CircAlimentAtuad, Circuito de alimentação dos atuadores
P0659, CircAlimentAtuad, Circuito de alimentação dos atuadores
P0660, SolenControleAr, Solenóide de controle de ar
P0661, SolenControleAr, Solenóide de controle de ar
P0662, SolenControleAr, Solenóide de controle de ar
P0663, SolenControleAr, Solenóide de controle de ar
P0664, SolenControleAr, Solenóide de controle de ar
P0665, SolenControleAr, Solenóide de controle de ar
P0666, TemperaturaECU, Temperatura da ECU
P0667, TemperaturaECU, Temperatura da ECU
P0668, TemperaturaECU, Temperatura da ECU
P0669, TemperaturaECU, Temperatura da ECU
P0670, ECUContrVela, ECU de controle das velas
P0671, VelaCilindro1, Vela Cilindro 1 P0672 VelaCilindro2 Vela Cilindro 2
P0673, VelaCilindro3, Vela Cilindro 3 P0674 VelaCilindro4 Vela Cilindro 4
P0675, VelaCilindro5, Vela Cilindro 5 P0676 VelaCilindro6 Vela Cilindro 6
P0677, VelaCilindro7, Vela Cilindro 7
P0678, VelaCilindro8, Vela Cilindro 8
P0679, VelaCilindro9, Vela Cilindro 9
P0680, VelaCilindro10, Vela Cilindro 10
P0681, VelaCilindro11, Vela Cilindro 11
P0682, VelaCilindro12, Vela Cilindro 12
P0683, LinkComunicacao, Link de comunicação
P0684, LinkComunicacao, Link de comunicação
P0685, ReleAlimentECU, Relé de alimentação da ECU
P0686, ReleAlimentECU, Relé de alimentação da ECU
P0687, ReleContrMotor, Relé de controle do motor
P0688, ReleContrMotor, Relé de controle do motor
P0689, ReleAlimentECU, Relé de alimentação da ECU
P0690, ReleAlimentECU, Relé de alimentação da ECU
P0691, Ventilador, Ventilador
P0692, Ventilador, Ventilador
P0693, Ventilador, Ventilador
P0694, Ventilador, Ventilador
P0695, Ventilador, Ventilador
P0696, Ventilador, Ventilador
P0697, TensaoReferenc, Tensão de referência
P0698, TensaoReferenc, Tensão de referência
P0699, TensaoReferenc, Tensão de referência
P0700, SistContrTransm, Sistema de controle da transmissão
P0701, SistContrTransm, Sistema de controle da transmissão
P0702, SistContrTransm, Sistema de controle da transmissão
P0703, ConversorTorque, Conversor de torque
P0704, SinalIntEmbreag, Sinal do interruptor da embreagem
P0705, InterrupMudanca, Interruptor de Mudança
P0706, InterrupMudanca, Interruptor de Mudança
P0707, InterrupMudanca, Interruptor de Mudança
P0708, InterrupMudanca, Interruptor de Mudança
P0709, InterrupMudanca, Interruptor de Mudança
P0710, SenTempOleoTrans, Sensor de temperatura do óleo da transmissão
P0711, SenTempOleoTrans, Sensor de temperatura do óleo da transmissão
P0712, SenTempOleoTrans, Sensor de temperatura do óleo da transmissão
P0713, SenTempOleoTrans, Sensor de temperatura do óleo da transmissão
P0714, SenTempOleoTrans, Sensor de temperatura do óleo da transmissão
P0715, SenRotTurbina, Sensor de rotação da turbina
P0716, SenRotTurbina, Sensor de rotação da turbina
P0717, SenRotTurbina, Sensor de rotação da turbina
P0718, SenRotTurbina, Sensor de rotação da turbina
P0719, ConversorTorque, Conversor de torque
P0720, SensorVelocidade, Sensor de velocidade do veículo
P0721, SensorVelocidade, Sensor de velocidade do veículo
P0722, SensorVelocidade, Sensor de velocidade do veículo
P0723, SensorVelocidade, Sensor de velocidade do veículo
P0724, ConversorTorque, Conversor de torque
P0725, SinalRotacao, Sinal de rotação
P0726, SinalRotacao, Sinal de rotação
P0727, SinalRotacao, Sinal de rotação
P0728, SinalRotacao, Sinal de rotação
P0730, RelIncorMarcha, Relação de marcha incorreta
P0731, RelIncorMarcha1, Relação incorreta da marcha 1
P0732, RelIncorMarcha2, Relação incorreta da marcha 2
P0733, RelIncorMarcha3, Relação incorreta da marcha 3
P0734, RelIncorMarcha4, Relação incorreta da marcha 4
P0735, RelIncorMarcha5, Relação incorreta da marcha 5
P0736, RelIncorMarchaRe, Relação incorreta da marcha ré
P0737, SinalRotMtrTrans, Sinal de rotação do motor na ECU da transmissão
P0738, SinalRotMtrTrans, Sinal de rotação do motor na ECU da transmissão
P0739, SinalRotMtrTrans, Sinal de rotação do motor na ECU da transmissão
P0740, ConversorTorque, Conversor de torque
P0741, EmbrConvTorque, Embreagem do conversor de torque
P0742, EmbrConvTorque, Embreagem do conversor de torque
P0743, ConversorTorque, Conversor de torque
P0744, EmbrConvTorque, Embreagem do conversor de torque
P0745, ValPresOleoTrans, Válvula de pressão do óleo da transmissão
P0746, ValPresOleoTrans, Válvula de pressão do óleo da transmissão
P0747, ValPresOleoTrans, Válvula de pressão do óleo da transmissão
P0748, ValPresOleoTrans, Válvula de pressão do óleo da transmissão
P0749, ValPresOleoTrans, Válvula de pressão do óleo da transmissão
P0750, SolenMudancaA, Solenóide de mudança A
P0751, SolenMudancaA, Solenóide de mudança A
P0752, SolenMudancaA, Solenóide de mudança A
P0753, SolenMudancaA, Solenóide de mudança A
P0754, SolenMudancaA, Solenóide de mudança A
P0755, Solenoide, 2-3 Solenoide 2-3
P0756, SolenMudancaB, Solenóide de mudança B
P0757, SolenMudancaB, Solenóide de mudança B
P0758, SolenMudancaB, Solenóide de mudança B
P0759, SolenMudancaB, Solenóide de mudança B
P0760, SolenMudancaC, Solenóide de mudança C
P0761, SolenMudancaC, Solenóide de mudança C
P0762, SolenMudancaC, Solenóide de mudança C
P0763, SolenMudancaC, Solenóide de mudança C
P0764, SolenMudancaC, Solenóide de mudança C
P0765, SolenMudancaD, Solenóide de mudança D
P0766, SolenMudancaD, Solenóide de mudança D
P0767, SolenMudancaD, Solenóide de mudança D
P0768, SolenMudancaD, Solenóide de mudança D
P0769, SolenMudancaD, Solenóide de mudança D
P0770, SolenMudancaE, Solenóide de mudança E
P0771, SolenMudancaE, Solenóide de mudança E
P0772, SolenMudancaE, Solenóide de mudança E
P0773, SolenMudancaE, Solenóide de mudança E
P0774, SolenMudancaE, Solenóide de mudança E
P0775, SolContrPresB, Solenóide de controle da pressão B
P0776, SolContrPresB, Solenóide de controle da pressão B
P0777, SolContrPresB, Solenóide de controle da pressão B
P0778, SolContrPresB, Solenóide de controle da pressão B
P0779, SolContrPresB, Solenóide de controle da pressão B
P0780, FalhaMudanca, Falha mudança
P0781, FalhaMudanca1-2, Falha mudança 1-2
P0782, FalhaMudanca2-3, Falha Mudança 2-3
P0783, FalhaMudanca3-4, Falha mudança 3-4
P0784, FalhaMudanca4-5, Falha mudança 4-5
P0785, SolenoideMudanca, Solenóide mudança
P0786, SolenoideMudanca, Solenóide mudança
P0787, SolenoideMudanca, Solenóide mudança
P0788, SolenoideMudanca, Solenóide mudança
P0789, SolenoideMudanca, Solenóide mudança
P0790, InterrupMudanca, Interruptor de Mudança
P0791, SenVelEixoInterm, Sensor de velocidade do eixo intermediário
P0792, SenVelEixoInterm, Sensor de velocidade do eixo intermediário
P0793, SenVelEixoInterm, Sensor de velocidade do eixo intermediário
P0794, SenVelEixoInterm, Sensor de velocidade do eixo intermediário
P0795, SolContrPresC, Solenóide de controle de pressão C
P0796, SolContrPresC, Solenóide de controle de pressão C
P0797, SolContrPresC, Solenóide de controle de pressão C
P0798, SolContrPresC, Solenóide de controle de pressão C
P0799, SolContrPresC, Solenóide de controle de pressão C
P0800, SistContrTransm, Sistema de controle da transmissão
P0801, SolenInibidorRe, Solenóide inibidora da marcha ré
P0802, SistContrTransm, Sistema de controle da transmissão
P0803, ValvMudanAscend, Válvula de mudança ascendente
P0804, ValvMudanAscend, Válvula de mudança ascendente
P0805, SistemaEmbreagem, Sistema de embreagem
P0806, SistemaEmbreagem, Sistema de embreagem
P0807, SistemaEmbreagem, Sistema de embreagem
P0808, SistemaEmbreagem, Sistema de embreagem
P0809, SistemaEmbreagem, Sistema de embreagem
P0810, ContrPosicEmbr, Controle de posição da embregem
P0811, EscorregEmbreag, Escorregamento da embregem
P0812, MarchaRe, Marcha Ré P0813 MarchaRe Marcha Ré
P0814, DisplayMudMarcha, Display de mudança de marcha
P0815, InterMudAscend, Interruptor de mudança ascendente
P0816, InterMudDescend, Interruptor de mudança descendente
P0817, DesabMotorArranq, Desabilitação do motor de arranque
P0818, IntDescSistTrans, Interruptor de desconexão do sistema de transmissão
P0819, InterrupMudanca, Interruptor de Mudança
P0820, SenPosAlavMudMar, Sensor de posição da alavanca de mudança de marcha
P0821, SenPosAlavMudMar, Sensor de posição da alavanca de mudança de marcha
P0822, SenPosAlavMudMar, Sensor de posição da alavanca de mudança de marcha
P0823, SenPosAlavMudMar, Sensor de posição da alavanca de mudança de marcha
P0824, SenPosAlavMudMar, Sensor de posição da alavanca de mudança de marcha
P0825, InterrupMudanca, Interruptor de Mudança
P0826, InterrupMudanca, Interruptor de Mudança
P0827, InterrupMudanca, Interruptor de Mudança
P0828, InterrupMudanca, Interruptor de Mudança
P0829, InterMudAscend, Interruptor de mudança ascendente
P0830, SinalIntEmbreag, Sinal do interruptor da embreagem
P0831, SinalIntEmbreag, Sinal do interruptor da embreagem
P0832, SinalIntEmbreag, Sinal do interruptor da embreagem
P0833, SinalIntEmbreag, Sinal do interruptor da embreagem
P0834, SinalIntEmbreag, Sinal do interruptor da embreagem
P0835, SinalIntEmbreag, Sinal do interruptor da embreagem
P0836, Interruptor4x4, Interruptor 4x4
P0837, Interruptor4x4, Interruptor 4x4
P0838, Interruptor4x4, Interruptor 4x4
P0839, Interruptor4x4, Interruptor 4x4
P0840, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0841, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0842, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0843, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0844, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0845, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0846, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0847, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0848, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0849, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0850, InterruptorP/N, Interruptor P/N P0851 InterruptorP/N Interruptor P/N
P0852, InterruptorP/N, Interruptor P/N P0853 InterruptorD Interruptor D
P0854, InterruptorD, Interruptor D P0855 InterruptorD Interruptor D
P0856, SinalContrTrac, Sinal do controle de tração
P0857, SinalContrTrac, Sinal do controle de tração
P0858, SinalContrTrac, Sinal do controle de tração
P0859, SinalContrTrac, Sinal do controle de tração
P0860, LinkComunTransm, Link de comunicação da transmissão
P0861, LinkComunTransm, Link de comunicação da transmissão
P0862, LinkComunTransm, Link de comunicação da transmissão
P0863, LinkComunTransm, Link de comunicação da transmissão
P0864, LinkComunTransm, Link de comunicação da transmissão
P0865, LinkComunTransm, Link de comunicação da transmissão
P0866, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0867, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0868, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0869, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0870, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0871, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0872, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0873, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0874, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0875, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0876, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0877, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0878, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0879, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0880, ECUTransmissao, ECU da transmissão
P0881, ECUTransmissao, ECU da transmissão
P0882, ECUTransmissao, ECU da transmissão
P0883, ECUTransmissao, ECU da transmissão
P0884, ECUTransmissao, ECU da transmissão
P0885, ReleAlimentECU, Relé de alimentação da ECU
P0886, ReleAlimentECU, Relé de alimentação da ECU
P0887, ReleAlimentECU, Relé de alimentação da ECU
P0888, ReleAlimentECU, Relé de alimentação da ECU
P0889, ReleAlimentECU, Relé de alimentação da ECU
P0890, ReleAlimentECU, Relé de alimentação da ECU
P0891, ReleAlimentECU, Relé de alimentação da ECU
P0892, ReleAlimentECU, Relé de alimentação da ECU
P0893, VariasMarchasEng, Várias marchas engatadas
P0894, EscorregTransmis, Escorregamento da transmissão
P0895, TempMudanMarcPeq, Tempo de mudança de marcha pequeno
P0896, TempMudanMarcLon, Tempo de mudança de marcha longo
P0897, OleoTransmDeter, Óleo da transmissão deteriorado
P0898, SistContrTransm, Sistema de controle da transmissão
P0899, SistContrTransm, Sistema de controle da transmissão
P0900, AtuadorEmbreagem, Atuador da embreagem
P0901, AtuadorEmbreagem, Atuador da embreagem
P0902, AtuadorEmbreagem, Atuador da embreagem
P0903, AtuadorEmbreagem, Atuador da embreagem
P0904, CircPosicNeutro, Circuito da posição neutro
P0905, CircPosicNeutro, Circuito da posição neutro
P0906, CircPosicNeutro, Circuito da posição neutro
P0907, CircPosicNeutro, Circuito da posição neutro
P0908, CircPosicNeutro, Circuito da posição neutro
P0909, RegulPosicNeutro, Regulação da posição neutro
P0910, AtuadPosicNeutro, Atuador da posição neutro
P0911, AtuadPosicNeutro, Atuador da posição neutro
P0912, AtuadPosicNeutro, Atuador da posição neutro
P0913, AtuadPosicNeutro, Atuador da posição neutro
P0914, CircPosicMarcha, Circuito de posição da marcha
P0915, CircPosicMarcha, Circuito de posição da marcha
P0916, CircPosicMarcha, Circuito de posição da marcha
P0917, CircPosicMarcha, Circuito de posição da marcha
P0918, CircPosicMarcha, Circuito de posição da marcha
P0919, ContrPosicMarcha, Controle de posição da marcha
P0920, IndicMudanAscend, Indicador de mudança ascendente
P0921, IndicMudanAscend, Indicador de mudança ascendente
P0922, IndicMudanAscend, Indicador de mudança ascendente
P0923, IndicMudanAscend, Indicador de mudança ascendente
P0924, InterMudDescend, Interruptor de mudança descendente
P0925, InterMudDescend, Interruptor de mudança descendente
P0926, InterMudDescend, Interruptor de mudança descendente
P0927, InterMudDescend, Interruptor de mudança descendente
P0928, ValvulaShiftLock, Válvula Shift Lock
P0929, ValvulaShiftLock, Válvula Shift Lock
P0930, ValvulaShiftLock, Válvula Shift Lock
P0931, ValvulaShiftLock, Válvula Shift Lock
P0932, SenPresHidraulic, Sensor de pressão hidráulica
P0933, SenPresHidraulic, Sensor de pressão hidráulica
P0934, SenPresHidraulic, Sensor de pressão hidráulica
P0935, SenPresHidraulic, Sensor de pressão hidráulica
P0936, SenPresHidraulic, Sensor de pressão hidráulica
P0937, SensTempOleoHidr, Sensor de temperatura do óleo hidráulico
P0938, SensTempOleoHidr, Sensor de temperatura do óleo hidráulico
P0939, SensTempOleoHidr, Sensor de temperatura do óleo hidráulico
P0940, SensTempOleoHidr, Sensor de temperatura do óleo hidráulico
P0941, SensTempOleoHidr, Sensor de temperatura do óleo hidráulico
P0942, UnidPresHidraul, Unidade de pressão hidráulica
P0943, UnidPresHidraul, Unidade de pressão hidráulica
P0944, UnidPresHidraul, Unidade de pressão hidráulica
P0945, ReleBombaHidraul, Relé da bomba hidráulica
P0946, ReleBombaHidraul, Relé da bomba hidráulica
P0947, ReleBombaHidraul, Relé da bomba hidráulica
P0948, ReleBombaHidraul, Relé da bomba hidráulica
P0949, EmbreagAutomatic, Embreagem automática
P0950, CircEmbreagAutom, Circuito da embreagem automática
P0951, CircEmbreagAutom, Circuito da embreagem automática
P0952, CircEmbreagAutom, Circuito da embreagem automática
P0953, CircEmbreagAutom, Circuito da embreagem automática
P0954, EmbreagAutomatic, Embreagem automática
P0955, CircEmbreagAutom, Circuito da embreagem automática
P0956, CircEmbreagAutom, Circuito da embreagem automática
P0957, CircEmbreagAutom, Circuito da embreagem automática
P0958, CircEmbreagAutom, Circuito da embreagem automática
P0959, CircEmbreagAutom, Circuito da embreagem automática
P0960, SolContrPresA, Solenóide de controle da pressão A
P0961, SolContrPresA, Solenóide de controle da pressão A
P0962, SolContrPresA, Solenóide de controle da pressão A
P0963, SolContrPresA, Solenóide de controle da pressão A
P0964, SolContrPresB, Solenóide de controle da pressão B
P0965, SolContrPresB, Solenóide de controle da pressão B
P0966, SolContrPresB, Solenóide de controle da pressão B
P0967, SolContrPresB, Solenóide de controle da pressão B
P0968, SolContrPresC, Solenóide de controle de pressão C
P0969, SolContrPresC, Solenóide de controle de pressão C
P0970, SolContrPresC, Solenóide de controle de pressão C
P0971, SolContrPresC, Solenóide de controle de pressão C
P0972, SolenMudancaA, Solenóide de mudança A
P0973, SolenMudancaA, Solenóide de mudança A
P0974, SolenMudancaA, Solenóide de mudança A
P0975, SolenMudancaB, Solenóide de mudança B
P0976, SolenMudancaB, Solenóide de mudança B
P0977, SolenMudancaB, Solenóide de mudança B
P0978, SolenMudancaC, Solenóide de mudança C
P0979, SolenMudancaC, Solenóide de mudança C
P0980, SolenMudancaC, Solenóide de mudança C
P0981, SolenMudancaD, Solenóide de mudança D
P0982, SolenMudancaD, Solenóide de mudança D
P0983, SolenMudancaD, Solenóide de mudança D
P0984, SolenMudancaE, Solenóide de mudança E
P0985, SolenMudancaE, Solenóide de mudança E
P0986, SolenMudancaE, Solenóide de mudança E
P0987, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0988, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0989, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0990, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0991, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0992, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0993, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0994, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0995, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0996, SenPresOleoTrans, Sensor de pressão do óleo da transmissão
P0997, SolenMudancaF, Solenóide de mudança F
P0998, SolenMudancaF, Solenóide de mudança F
P0999, SolenMudancaF, Solenóide de mudança F
P1000, DiagInternIncomp, Diagnóstico interno incompleto
P1001, DiagInternIncomp, Diagnóstico interno incompleto
P1101, SensorMAF, Sensor MAF
P1105, SensorBarometric, Sensor barométrico
P1106, SensorMAP, Sensor MAP
P1107, SensorMAP, Sensor MAP
P1109, CircValvulaIMT, Circuito da válvula IMT (intake manifold timing)
P1111, SensTempAr, Sensor de Temperatura do Ar de Admissão
P1112, SensTempAr, Sensor de Temperatura do Ar de Admissão
P1114, SensTempAgua, Sensor de Temperatura da água
P1115, SensTempAgua, Sensor de Temperatura da água
P1116, SensTempAgua, Sensor de Temperatura da água
P1117, SensTempAgua, Sensor de Temperatura da água
P1120, CircPosicBorbol, Circuito do sensor de posição da borboleta
P1121, CircPosicBorbol, Circuito do sensor de posição da borboleta
P1122, CircPosicBorbol, Circuito do sensor de posição da borboleta
P1124, CircPosicBorbol, Circuito do sensor de posição da borboleta
P1125, SensorPosicBorb, Sensor de posição da borboleta
P1130, SondaLambda1B1, Sonda Lambda 1 banco 1
P1131, SondaLambda2B1, Sonda lambda 2 banco 1
P1132, SondaLambda1B2, Sonda Lambda 1 banco 2
P1133, SondaLambda1B1, Sonda Lambda 1 banco 1
P1134, SondaLambda1B1, Sonda Lambda 1 banco 1
P1153, SondaLambda1B2, Sonda Lambda 1 banco 2
